"Category: ""All Commands""; Filter: """""
ID,Title,Description,Shortcut,"Shortcut 2"
cmd.pdfNamedDestsView.goto,"Go to Destination","Move to the selected destination.",Space,
cmd.view.goto.page,"Go to Page...","Go to a specific page of the document.",Ctrl+Shift+N,
{72B70A7B-9C4C-4C7A-8F9F9ACA65C338A6},Graph,"Custom Style",,
{2ADEAF3A-AC47-40F0-966923F4BA66159A},Green,"Custom Style",,
{D464F2DA-944B-4427-BAC2A3CCAE12FC3D},Green,"Custom Style",,
{837E3A9B-C1E2-4144-85907AC1B4F6BA7B},Green,"Custom Style",,
{8C684E84-1E22-4A9B-AF93CA0AE806D405},Green,"Custom Style",,
{31762703-899E-418B-973910A55BA46E81},Green,"Custom Style",,
{186BE430-5ABC-4B0A-92C12FD51FA1F79E},Green,"Custom Style",,
{AB1EB232-88C1-443D-BABA-BEBC12D4D140},Green,"Custom Style",,
{9BBADCF0-A80F-464E-87E9AF3CF599C323},Green,"Custom Style",,
{A4DE64F4-D609-4D33-8F43FFA8F7C644D0},Green,"Custom Style",,
{34F25156-93A2-4A4F-9B46980160B50E57},Green,"Custom Style",,
{0EE879A4-6B4F-434E-804D99061B33CC33},Green,"Custom Style",,
{650A5DF1-6234-4C92-A19265C85BC4C12E},Green,"Custom Style",,
{31D9E6F4-840C-4A3A-B5ED74C80D4F66E3},Green,"Custom Style",,
{292A443C-40CE-4331-AD91995732319513},Green,"Custom Style",,
{7900D6BA-4629-4ED6-9BEF48EF2A4D86B3},Green,"Custom Style",,
{170C0A8C-6D45-4A6E-B2323B51B6FA3150},Green,"Custom Style",,
{ECE473DA-3FA7-41EA-A632D75E20FC2707},Green,"Custom Style",,
{47E014CA-4753-42FD-9DC46AD589EE8C4D},Green,"Custom Style",,
{F0307D75-EDED-4FE3-9DB2136CB81A597D},"Green Attachment","Custom Style",,
{4663A5E9-33F2-4542-A18A-7AA1F91F2709},"Green Cloudy","Custom Style",,
{CDE3F517-3D90-4B5B-9737-F865796B53EA},"Green Cloudy","Custom Style",,
{F79CA8DC-C3FF-46BC-A615A4A4E39AAD23},"Green Ear","Custom Style",,
{8168323A-F04F-45B0-8C30-C165027F418B},"Green Inner","Custom Style",,
{BD9C347E-1821-4A0D-B55866DB6B17050B},"Green Marker","Custom Style",,
{A0F86C0A-76E2-40F3-8CFE2C0D8A43FC50},"Green Microphone","Custom Style",,
{B3C9CF89-C176-4A28-B408DB1719F8EF5A},"Green Paperclip","Custom Style",,
{D237319D-E55A-4173-B0BFFF8D5DA4ECE9},"Green Sound","Custom Style",,
{A4A01CA7-37C9-4A7D-ADAB3C38CA4932E0},"Green Squiggly","Custom Style",,
{062809D4-8BFF-41FC-892B46BA303C0E9F},"Green Stroke","Custom Style",,
{84FC6091-1298-4B93-A76E76F381C823DD},"Green Stroke","Custom Style",,
{065368FD-1140-452A-ADD0F9A272ABC9B4},"Green Stroke","Custom Style",,
{F87EBA85-0648-46F9-ADE3DCBD2868806F},"Green Stroke","Custom Style",,
{96D7C490-C378-4B9D-B52B2BB96E0F2D9A},"Green Stroke","Custom Style",,
{8CBEC373-422E-4FB1-892592E145F4691B},"Green Tag","Custom Style",,
{9DB56EE3-E4DC-4978-A90EB4A1778FF4E5},Grey,"Custom Style",,
{17E7357B-90A2-45E9-8F3B75501729661C},Grey,"Custom Style",,
cmd.measure.groupSeparator,Group,"Set thousands separator.",,
cmd.group,Group,"Group the selected objects.",,
cmd.commentsView.groupBy.author,"Group by Author","Group comments by author.",,
cmd.commentsView.groupBy.color,"Group by Color","Group comments by color.",,
cmd.commentsView.groupBy.crtDate,"Group by Creation Date","Group comments by creation date.",,
cmd.commentsView.groupBy.modDate,"Group by Modification Date","Group comments by the date that they were last modified.",,
cmd.commentsView.groupBy.page,"Group by Page","Group comments by page.",,
cmd.commentsView.groupBy.state,"Group by Status","Group comments by status.",,
cmd.commentsView.groupBy.subject,"Group by Subject","Group comments by subject.",,
cmd.commentsView.groupBy.type,"Group by Type","Group comments by type.",,
cmd.textStyle.sizeIn,"Grow Font","Increase font size.",,
cmd.tool.hand,"Hand Tool","Click to pan around the document.",,
cmd.comments.hideAll,"Hide All Comments","Hide all comments in the document.",Ctrl+Shift+8,
cmd.layersView.hideAll,"Hide All Layers","Deactivate all of the modifiable layers.",,
cmd.annot.popup.hide,"Hide Pop-Up Note","Hide pop-up note of the selected annotation.",,
cmd.addAnnotsByFindResult.highlight,"Highlight Find Results","Place a highlight annotation over occurrences of the search terms, found on the pages.",,
cmd.forms.highlight,"Highlight Form Fields","Make form fields easier to identify. They appear with a colored background and all required form fields are outlined.",Ctrl+Alt+H,
cmd.document.highlightFile,"Highlight From File",,,
cmd.addAnnotsBySearchResult.highlight,"Highlight Search Results","Place a highlight annotation over occurrences of the search terms, found on the pages.",,
cmd.textsel.addHighlight,"Highlight Text","Highlight the selected block of text.",,
cmd.tool.annot.highlight,"Highlight Text Tool","Select and highlight base content text.
Use Properties pane to set properties.
",,
cmd.thumbnailsView.highlightVisible,"Highlight Visible Area",,,
cmd.addAnnotBySelect.highlight,"Highlight result","Place a highlight annotation over highlighted occurrence of the search term.",,
cmd.view.history,History,"Show/Hide the History pane.
The History pane displays documents that have been opened and allows to open them later.
",,
cmd.manageHistory,"History and Recents Options...","Show options for the history of documents opening and for the list of recently opened documents.",,
cmd.showHistory,History...,"Shows the History pane.
The History pane displays documents that have been opened and allows to open them later.
",,
cmd.help.homepage,"Home Page","Open the application website in browser.",,
cmd.window.split.horz,"Horizontal Split","Split the view of the active document into two parts, horizontaly.",,
cmd.document.spellCheckAndRepl.ignoreAll,"Ignore All Misspellings",,,
cmd.document.spellCheckAndRepl.ignore,"Ignore Misspelling",,,
cmd.tool.editFields.mode.image,Image,,,
cmd.tool.editContent.images,Images,"Select and edit only images.",,
cmd.selectImageItems,Images,"Select image items of the current document.",,
cmd.document.importBookmarks,"Import Bookmarks...","Import bookmarks from a previously exported file.",,
cmd.comments.import,"Import Comments...","Import comments from a file.",,
cmd.forms.importData,"Import Form Data...","Import form data from a file.",,
cmd.settings.import,"Import Settings...","Import application settings from a file.",,
cmd.rulers.units.inches,Inches,,,
cmd.textPara.indent.increase,"Increase Indent","Move paragraph farther away from the margin.",,
{9CC1133E-DC8D-4193-AD8712E2A21BEAEF},Indigo,"Custom Style",,
{FA1141F1-F59E-4EBE-9CC5DC17E586DF34},Indigo,"Custom Style",,
{41EFB5A2-14C1-4430-B1F8AD220294087D},Indigo,"Custom Style",,
{27B22E92-0398-40EA-89CACC14CB4E68A2},Indigo,"Custom Style",,
{5E7AE80D-82C0-4E4E-8D48CF9CA008E80C},Indigo,"Custom Style",,
{A21841E1-CDFE-4E8E-AB1163C3D7FE61B7},Indigo,"Custom Style",,
{565F2981-0996-49C5-B9541DBCC315DC1F},Indigo,"Custom Style",,
{DB21D0A0-0B75-41C7-B19D831922D5681D},Indigo,"Custom Style",,
{60AF3908-A281-4FFF-A250A32059668B58},Indigo,"Custom Style",,
{B3B7001C-D2F3-42ED-A3FFF3E74D70642C},Indigo,"Custom Style",,
{773DFA18-E899-4778-B430A55450B293FA},Indigo,"Custom Style",,
{65D674EB-90C9-4959-92CF-91505AB4FE03},Indigo,"Custom Style",,
{1C1F0CE4-8F17-405E-AF50B07BAF09BD1E},Indigo,"Custom Style",,
{382FA63C-D0D9-4232-8E32584ACCC33677},Indigo,"Custom Style",,
{79BAD0A1-B133-48E0-A9CF0BC0926A3F09},Indigo,"Custom Style",,
{CD39114B-61D1-4510-AF33B4BC50311D41},Indigo,"Custom Style",,
{16978AF5-C7FF-48FC-ABE0793EABDB8B58},Indigo,"Custom Style",,
{59CAB935-943E-46AC-BAB95CABFA765802},Indigo,"Custom Style",,
{9AD447AB-E348-42E4-887F-83B1F99A99E5},"Indigo Cloudy","Custom Style",,
{284D4CF5-6A6C-4821-88B0-6E65631DCC54},"Indigo Cloudy","Custom Style",,
{5E084B47-6719-4DA5-8584-71D7BEA4FB4C},"Indigo Inner","Custom Style",,
{1A8940FA-8275-40DF-82A81E48B95EF597},"Indigo Squiggly","Custom Style",,
{F0505E09-8237-4C67-99FA50DEABA9FC57},"Indigo Stroke","Custom Style",,
{E444134E-61E4-4A67-925E10945E344C7B},"Indigo Stroke","Custom Style",,
{52ABD93C-D957-4550-B495A51AAD489016},"Indigo Stroke","Custom Style",,
{8D312726-4506-494E-925FAAC74A0A76CB},"Indigo Stroke","Custom Style",,
{307EAB34-C5CB-49C3-912E40ADECF576D3},"Indigo Stroke","Custom Style",,
cmd.inertialScroll,"Inertial Scroll","Enable inertial scrolling for the hand tool.",,
cmd.document.insertEmptyPages,"Insert Empty Pages...","Insert empty pages into the current document.",,
cmd.document.insertImages,"Insert Images...","Insert new pages from the image files to the document.",,
cmd.document.insertPages,"Insert Pages...","Insert pages from another document into the active document.",Ctrl+Shift+I,
cmd.document.insertRTF,"Insert RTF...","Insert an RTF file, or set of RTF files, as new pages.",,
cmd.document.insertScannedPages,"Insert Scanned Pages...","Insert new pages from the scanned image files to the document.",,
cmd.document.insertText,"Insert Text...","Insert a text file, or set of text files, as new pages.",,
cmd.thumbnailsView.interactiveVisible,"Interactive Highlighted Area",,,
cmd.searchProviders,"Internet Search By",,,
cmd.invertSelection,"Invert Selection",,"""Num *""",
cmd.bookmarks.italic,Italic,"Italicize selected bookmarks.",,
cmd.textStyle.italic,Italic,"Italicize the selected text.",Ctrl+I,
cmd.view.javaScriptOpts,"JavaScript Options...","Show JavaScript Options.",,
cmd.textAlign.justifyAll,"Justify All Text","Justify all lines.",,
cmd.textAlign.justify,"Justify Text","Justify with last line aligned left.",Ctrl+J,
cmd.tool.editFields.keepMode,"Keep Mode","Keep selected mode for the tool.",,
cmd.tool.keepSelected,"Keep Selected","When enabled, the tool will remain selected after use.",,
cmd.bookmarksView.textSize.large,Large,,,
cmd.view.goto.lastPage,"Last Page","Go to the last page of the document.",End,
cmd.launchExternalApp,Launch,,,
cmd.view.toolbar.launchApp,"Launch Application Toolbar","Show/Hide the Launch Application toolbar.
",,
cmd.view.layers,Layers,"Show/Hide the Layers pane.
The Layers pane shows the structure of the document's layers, allowing for their visibility to be altered.
",Ctrl+L,
cmd.document.installFlash,"Learn more...",,,
cmd.textDirection.LTR,"Left to Right","Set Left to Right text direction.",,
cmd.tool.annot.line,"Line Tool","Draw a line annotation.
Use Properties Pane to set the properties.
",,
cmd.tool.annot.editLink,"Link Creation Tool","Add a new link, or edit an existing one.",,
cmd.textBlock.link,"Link Text Block","Link Text Block.",,
cmd.view.links,Links,"Show/Hide the Links pane.
The Links pane shows a list of the document's link annotations.
",,
cmd.tool.editFields.mode.list,"List Box","Add a list of choices. Add or edit list entries from within the Properties pane.",,
cmd.forms.highlight.listBox,"List Boxes","Highlight list boxes.",,
cmd.layersView.viewAllPages,"List Layers for All Pages","List all interactive layers.",,
cmd.layersView.viewVisiblePages,"List Layers for Visible Pages","Show only the interactive layers present on pages that are currently visible.",,
cmd.view.lockUnlockAllCmdPanes,"Lock All Tool-Panes","Lock/Unlock all tool-panes for toggling/resizing.",,
cmd.view.lockUnlockAllCmdBars,"Lock All Toolbars","Lock/Unlock all toolbars and menus for customizing.",,
cmd.view.loupe,Loupe,"Activates the Loupe Tool.
Then clicking on the page opens the Loupe Window that displays a magnified portion of the page.
",,
cmd.tool.loupe,"Loupe Tool","Activates the Loupe Tool.
Then clicking on the page opens the Loupe Window that displays a magnified portion of the page.
",,
cmd.props.makeDefault,"Make Current Properties Default","Set the current properties of the object as the default properties for new objects of the same type.",,
cmd.textStyle.makeDefault,"Make Current Text Format Default","Set the formatting of selected text as the default for new comments.",,
cmd.makeSameHeight,"Make Same Height",,,
cmd.makeSameSize,"Make Same Size",,,
cmd.makeSameWidth,"Make Same Width",,,
cmd.loupeView.snapshot,"Make Snapshot of Current View","Copy the view currently displayed in the Loupe rectangle, to the Clipboard.",,
cmd.measures.manage,"Manage Measurements...",,,
cmd.manageSessions,"Manage Sessions...",,,
cmd.settings.manage,"Manage Settings...","Import/Export/Reset application settings.",,
cmd.document.headerAndFooter.manage,Manage...,"Manage all headers and footers in the document.",,
cmd.signs.manage,Manage...,"Manage signatures and initials list.",,
cmd.document.background.update,Manage...,"Manage all of the document's backgroungs.",,
cmd.document.batesNumbering.manage,Manage...,"Manage all bates numbering applied to the document.",,
cmd.emailMethods.manage,Manage...,"Open Preferences to edit Send Mail settings...",,
cmd.document.watermarks.manage,Manage...,"Manage all of the document's watermarks.",,
cmd.tool.annot.redaction,"Mark for Redaction","Mark content for permanent removal.",,
cmd.view.toolbar.measuring,"Measure Toolbar","Show/Hide the Measure toolbar.
",,
cmd.bookmarksView.textSize.medium,Medium,,,
cmd.view.toolbar.menu,"Menu Bar","Show/Hide the Menu bar.
",F9,
cmd.document.mergePages,"Merge Pages...","Merge pages in the active document.",,
cmd.rulers.units.millimeters,Millimeters,,,
cmd.bookmarksView.moveDown,"Move Down","Move the selected bookmark(s) down.",Alt+Down,
cmd.document.movePages,"Move Pages...","Move pages of the active document.",,
cmd.moveToTrash,"Move To Trash","Removes the active document from the local disk and moves it to the Recycle Bin.",,
cmd.bookmarksView.moveUp,"Move Up","Move the selected bookmark(s) up.",Alt+Up,
cmd.openFromComp,"My Computer","Open a document from this computer.",,
cmd.saveToComp,"My Computer","Save the active document to this computer.",,
cmd.view.portfolio.navDetails,"Navigator Details View","Switch to the Details View to navigate through files using file details.",,
cmd.view.portfolio.navLayout,"Navigator Layout View","Switch to the Layout View to navigate through files visually.",,
cmd.attachmentsView.new,"New Attachment...","Add a new attachment.",Insert,
cmd.bookmarksView.new,"New Bookmark...","Creates a new bookmark after the current selection. If no bookmark is selected, a new one will be created at the end of the list.",Insert,
cmd.bookmarksView.new.firstChild,"New Bookmark...","Creates a new bookmark as the first child of the current selection. If no bookmark is selected, a new one will be created at the end of the list.",Ctrl+Alt+Insert,
cmd.bookmarksView.new.lastChild,"New Bookmark...","Creates a new bookmark as the last child of the current selection. If no bookmark is selected, a new one will be created at the end of the list.",Ctrl+Insert,
cmd.bookmarksView.new.before,"New Bookmark...","Creates a new bookmark before the current selection. If no bookmark is selected, a new one will be created at the end of the list.",Alt+Insert,
cmd.pdfNamedDestsView.new,"New Destination...","Create a new destination and assign the current view as the target.",Insert,
cmd.window.new,"New Document Window","Create a new window for the active document.",,
cmd.document.createNewDocFromSel,"New Document from Selection...","Export a current selection to a new PDF document.",,
cmd.view.portfolio.createFolder,"New Folder...","Create new empty folder in Portfolio.",,
cmd.document.createStampFromActiveDoc,"New Stamp from Active Document...","Create a stamp from an active document.",,
cmd.document.createStampFromSel,"New Stamp from Selection...","Create a stamp from current selection.",,
cmd.commentsView.next,"Next Comment","Select next comment.",,
cmd.comments.next,"Next Comment","Select next comment.",,
cmd.view.goto.nextDocument,"Next Document","Go to the next document.",Ctrl+F6,Ctrl+Tab
cmd.view.goto.nextPage,"Next Page","Go to the next page of the document.",Ctrl+Right,
cmd.view.goto.nextView,"Next View","Navigate forward.",Alt+Right,
cmd.document.pageNumbering,"Number Pages...","Assign number, or letter, labels to pages. e.g. Table of Contents; i, ii, iii, iv, etc.",,
cmd.OCRImage,"OCR Image...","Recognize the selected image using the Optical Character Recognition (OCR).",,
cmd.document.OCRPages,"OCR Page(s)...","Recognize text in scanned documents using the Optical Character Recognition (OCR).",,
cmd.document.OCRSelRgn,"OCR Selected Region...","Recognize text in the selected region on the page using the Optical Character Recognition (OCR).",,
cmd.forms.highlight.onlyrequired,"Only Required Fields","Only fields marked as 'Required' will be highlighted.",,
cmd.opacity,Opacity,"Change the transparency of the object.",,
cmd.comments.show.popups.openAll,"Open All Pop-ups","Open pop-ups for all comments in the document.",,
cmd.attachmentsView.open,"Open Attachment","Open selected attachment in its native application.
PDF files will be opened by the Editor itself.",,
cmd.openSrcFolder,"Open Containing Folder...","Open the folder where the active document is located.",,
cmd.commentsView.popups.open,"Open Group's Pop-Ups","Open pop-up notes for all comments, in the selected groups.",,
cmd.annot.popup.open,"Open Pop-Up Note","Open pop-up note of the selected annotation.",,
cmd.openSessionFromFile,"Open Session from a File...",,,
cmd.tool.link.openInBrowser,"Open URL in Browser","Open URL in the system default browser",,
cmd.openFromURL,"Open from URL","Open a document from a URL.",,
cmd.editImage.editWith,"Open with...","Edit image content item in the chosen image-editing application.",,
cmd.open,Open...,"Open an existing document.",Ctrl+O,
cmd.jsConsole.prefs,Options...,"Show JavaScript Options.",,
cmd.recoveryView.options,Options...,,,
cmd.fieldsView.tabOrder.manually,"Order Tabs Manually",,,
cmd.fieldsView.tabOrder.unspecified,"Order Tabs Unspecified",,,
cmd.fieldsView.tabOrder.column,"Order Tabs by Column",,,
cmd.fieldsView.tabOrder.row,"Order Tabs by Row",,,
cmd.fieldsView.tabOrder.structure,"Order Tabs by Structure",,,
cmd.fieldsView.sort.pages,"Order by Pages","Group fields by page.",,
cmd.tool.annot.circle,"Oval Tool","Draw an oval annotation.
Use Properties pane to set properties.
",,
cmd.view.overrideDocumentColors,"Override Document Colors","When the Override Document Colors enabled, colors in the document will be displayed according to the selected color scheme.
",Ctrl+Shift+6,
cmd.newPortfolio,"PDF Portfolio...","Create new PDF Portfolio by combining supported files.",,
cmd.view.pageNumber,Page,,,
cmd.view.toolbar.pageLayout,"Page Layout Toolbar","Show/Hide the Page Layout toolbar.
",,
cmd.view.pageMeasureInfo,"Page Measurement",,,
cmd.document.pageTransitions,"Page Transitions","Change page transitions in full screen mode.",,
cmd.view.toolbar.pageZoom,"Page Zoom Toolbar","Show/Hide the Page Zoom toolbar.
",,
cmd.thumbnailsView.select.bookmarks,"Pages with Bookmarks","Select pages that have Bookmark links to them.",,
cmd.thumbnailsView.select.comments,"Pages with Comments","Select pages that contain Comments.",,
cmd.thumbnailsView.select.fields,"Pages with Form Fields","Select pages that contain Form Fields.",,
cmd.thumbnailsView.select.images,"Pages with Images","Select pages that have Image content items.",,
cmd.thumbnailsView.select.links,"Pages with Links","Select pages that contain Link annotations.",,
cmd.thumbnailsView.select.path,"Pages with Path Items","Select pages that have Path content items.",,
cmd.thumbnailsView.select.searchRes,"Pages with Search Results","Select pages that have active Search Results from Search Pane.",,
cmd.thumbnailsView.select.text,"Pages with Text","Select pages that have Text content items.",,
cmd.thumbnailsView.select.with,"Pages with...","Select pages that meet the selected criteria.",,
cmd.view.panzoom,"Pan and Zoom","Show/Hide the Pan and Zoom pane.
The Pan and Zoom pane shows a miniature of the current page, for easy navigation.
",,
cmd.paste,Paste,"Add content in the Clipboard to your document",Ctrl+V,Shift+Insert
cmd.pastePlainText,"Paste as plain text","Paste only plain text",,
cmd.tool.annot.pencil,"Pencil Tool","Draw freehand objects.
Use Properties Pane to set the properties.
",,
cmd.tool.annot.perimeter,"Perimeter Tool","Measure the perimeter of the shape on the the page.",,
cmd.rulers.units.picas,Picas,,,
cmd.selBarcodePlace.apply,"Place Barcode into This Area...","Open the Add Barcode dialog to add the barcode to the selected area.",,
cmd.selImagePlace.apply,"Place Image into This Area...","Open the Add Image dialog to add the image to the selected area.",,
cmd.tool.digisig,"Place Signature...","Create a new signature field and sign it, in one step.",,
cmd.rulers.units.points,Points,,,
cmd.tool.annot.polyline,"Polygon Line Tool","Draw a polyline annotation.
Use Properties Pane to set the properties.
",,
cmd.tool.annot.polygon,"Polygon Tool","Draw a polygon annotation. To complete the annotation, double click, right-click, or click the start point.
Use Properties Pane to set the properties.
",,
cmd.view.portfolio.properties,"Portfolio Properties...","Show Portfolio properties for Details view.",,
cmd.view.portfolioTools,"Portfolio Tools","Show tools for Portfolio viewing and changing.",,
cmd.measure.precision,Precision,"Set the precision for measure.",,
cmd.prefs,Preferences...,"Show the application preferences dialog.",Ctrl+K,
cmd.view.portfolio.previewFile,"Preview File","Preview the selected item in Portfolio.",,
cmd.commentsView.previous,"Previous Comment","Select previous comment.",,
cmd.comments.previous,"Previous Comment","Select previous comment.",,
cmd.view.goto.prevDocument,"Previous Document","Go to the previous document.",Ctrl+Shift+F6,Ctrl+Shift+Tab
cmd.document.spellCheckAndRepl.back,"Previous Misspelling",,Alt+F7,
cmd.view.goto.prevPage,"Previous Page","Go to the previous page of the document.",Ctrl+Left,
cmd.view.goto.prevView,"Previous View","Navigate backward.",Alt+Left,
cmd.bookmarksView.pages.print,Print,"Print pages that the selected bookmarks and their children point to.",,
cmd.bookmarksView.sections.print,Print,"Print pages range that starts from pages that the selected bookmarks and their children point to and ends before the page that the next bookmark in hierarchy points to.",,
cmd.printAll,"Print All...","Print all opened documents.",,
cmd.print,Print...,"Print the active document.",Ctrl+P,
cmd.bookmarksView.promote,"Promote Bookmarks","Promote the current selection.",Alt+Left,
cmd.view.properties,"Properties Pane","Show/Hide the pane containing the Properties of the selected object(s).
",Ctrl+`,
cmd.view.toolbar.properties,"Properties Toolbar","Show/Hide the Properties toolbar.
This toolbar provides different options and functionality, depending upon the current selection and/or active tool.
",Ctrl+E,
cmd.props,Properties...,"Show properties of selected object(s).",,
cmd.help.purchaseNow,"Purchase Now",,,
{63B0553B-2E12-49D1-A4573CBB0B6745E2},Purple,"Custom Style",,
{FD45A160-49F9-4C39-ADB33CE26530A427},Purple,"Custom Style",,
{295A9AA7-BC19-4CF7-9DEC2443CED5090B},Purple,"Custom Style",,
{4C3FDCF1-C97D-449D-BA8B58B9DCFA6ED6},Purple,"Custom Style",,
{E81B17CC-7CD3-4988-85CBB79805E29B30},Purple,"Custom Style",,
{C0E5E776-D274-4E55-8E50-9CE06C25439C},Purple,"Custom Style",,
{19CB2A2B-437D-4543-A5592B365EE06AEA},Purple,"Custom Style",,
{EEB507C4-5D48-46CD-BAEFEF415C0467C9},Purple,"Custom Style",,
{238F5267-9AA1-433D-86910387C37617F3},Purple,"Custom Style",,
{387318E6-776E-41A1-B23F8C8B58B2F0E1},Purple,"Custom Style",,
{988491B3-C42C-47D5-9D24C5309D877F70},Purple,"Custom Style",,
{F18D2171-A56D-41C1-AAD9772B11E63DB0},Purple,"Custom Style",,
{0DBB4AB0-11DE-4472-813E013FA692D196},Purple,"Custom Style",,
{A5F0D8D4-60DF-4417-81B3150B1754BE5B},Purple,"Custom Style",,
{1E0C4791-AACD-47AE-9C27B2D6CC4B2B60},Purple,"Custom Style",,
{1F5B242E-1DB2-48A0-A3D91506C0B7CF6E},Purple,"Custom Style",,
{5F9D01E1-C60C-4A32-8857BCD70D06C71A},Purple,"Custom Style",,
{9AEF7268-8279-44B6-B07AAF981892BC64},Purple,"Custom Style",,
{E04F2D76-0C27-4EC6-BCF1-8319AC9C754B},"Purple Cloudy","Custom Style",,
{768C31F2-927B-4050-ADEC-522F9399AB4E},"Purple Cloudy","Custom Style",,
{CC89BA46-507E-4671-A03E-FFBB90C0E2AF},"Purple Inner","Custom Style",,
{F54B4BE3-A775-445C-8946BC7A00F29A48},"Purple Squiggly","Custom Style",,
{C786404D-493A-4A58-B143A1F06D3BF6A3},"Purple Stroke","Custom Style",,
{0723E3D1-E7B2-4844-ACD4846731E435D4},"Purple Stroke","Custom Style",,
{01B17A89-2D60-4046-B6FF67778D6ADD01},"Purple Stroke","Custom Style",,
{41ECEB37-FF05-4415-9136870B5E97EFA0},"Purple Stroke","Custom Style",,
{81BD0E75-79A8-4EFA-8372D0F99885F3CC},"Purple Stroke","Custom Style",,
cmd.forms.highlight.pushButton,"Push Buttons","Highlight push buttons.",,
cmd.tool.editFields.mode.radio,"Radio Button","Add radio buttons to allow for selection from mutually exclusive options.",,
cmd.forms.highlight.radioButton,"Radio Buttons","Highlight radio buttons.",,
cmd.document.rasterizePages,"Rasterize Pages...","Convert all of the selected pages' Content, Comments and Form Fields into one Image content item.",,
speech.cmd.readSelection,"Read Selected Text Out Loud",,,
cmd.recentsList,Recent,,,
cmd.recompressImage,"Recompress Image...","Recompress the current image.",,
cmd.recoveryView.recovery,Recover,"Recover selected documents from the available recovery information.",,
cmd.tool.annot.square,"Rectangle Tool","Draw a rectangle annotation.
Use Properties Pane to set the properties.
",,
{0AD3932C-2AEF-47EF-828D72277601860F},Red,"Custom Style",,
{F9CBC76C-FA96-4916-AF3B5D1F884424BB},Red,"Custom Style",,
{A3DBC313-28F9-436E-842D6F56EFBC547A},Red,"Custom Style",,
{0BCC9330-5C16-4B4E-A61556E0BB363FE9},Red,"Custom Style",,
{ECD6E2F9-79F4-47E7-826D6C51966A4908},Red,"Custom Style",,
{AAA19387-EBD0-4E4F-8E82-5E65C3277FE9},Red,"Custom Style",,
{A9F25D37-AA4C-46BB-9735C01AC3997A01},Red,"Custom Style",,
{80B138C8-C180-4A34-9D93B78F693387F5},Red,"Custom Style",,
{353950DE-CB15-44D5-9724C15F4BDC8C7F},Red,"Custom Style",,
{39040ED9-E3E2-4EA0-BAFB2CDD57F543DA},Red,"Custom Style",,
{426B4422-0487-457A-B55C1F9019BD2395},Red,"Custom Style",,
{2D50D070-987A-4E9C-A945F6DEA1859259},Red,"Custom Style",,
{9F3AA3BC-C78C-4D95-B82C74F531F07223},Red,"Custom Style",,
{DB192936-E761-4659-BE4C77B9E347CA95},Red,"Custom Style",,
{E75813FC-9C94-47EE-A2BE85C676B65BFB},Red,"Custom Style",,
{C210070C-610F-45D4-AE0E04514EBF156A},Red,"Custom Style",,
{21394D87-DEC8-4910-98FEC58436C69BFB},Red,"Custom Style",,
{5F8F8FDD-7B29-4D80-8A9DA048D3AD2044},Red,"Custom Style",,
{C6977B8D-4CBA-4A8B-A02D006441625E9C},"Red Attachment","Custom Style",,
{817DC1A8-5D90-4E63-A8D6-888796C5B443},"Red Cloudy","Custom Style",,
{5B5236B0-633D-4E36-B6D5-2C4A0A30ADB1},"Red Cloudy","Custom Style",,
{03D8AE68-3EDC-49EE-AD3336AD10DF8135},"Red Ear","Custom Style",,
{2BA545C7-119E-43D8-92DE-324C51E2F550},"Red Inner","Custom Style",,
{3CB85842-742A-40A5-BD171931643735BA},"Red Marker","Custom Style",,
{56AAAB3F-CAB0-4FCB-B2EC07A1914B5830},"Red Microphone","Custom Style",,
{D1C8D823-DDDA-4AB1-828E5D5375D8B9E8},"Red Paperclip","Custom Style",,
{76D60A7A-C05F-48A2-930F0A8CABCDCA01},"Red Sound","Custom Style",,
{84A2AFAE-090E-49A8-B61D39F33B8BBD6E},"Red Squiggly","Custom Style",,
{9ED28F44-AB1D-489D-84D8AA8033F0C155},"Red Stroke","Custom Style",,
{61D44591-F048-4A90-B0C257F85725164B},"Red Stroke","Custom Style",,
{38065B97-05A0-4399-8BAA5E87614A42CF},"Red Stroke","Custom Style",,
{26C68EB4-6047-4C8A-8662616896490BD1},"Red Stroke","Custom Style",,
{C30B4ECC-A93B-4631-9398B27E6134C9E6},"Red Stroke","Custom Style",,
{34F3AF36-BA9D-4489-8C9E49B9A570E209},"Red Tag","Custom Style",,
cmd.addAnnotsByFindResult.redaction,"Redact Find Results","Redact occurrences of the search terms, found on the pages.",,
cmd.addAnnotsBySearchResult.redaction,"Redact Search Results","Redact occurrences of the search terms, found on the pages.",,
cmd.addAnnotBySelect.redaction,"Redact result","Redact highlighted occurrence of the search term.",,
cmd.redo,Redo,"Redo the previously undone action.",Ctrl+Y,
cmd.bp.removeActions,"Remove Actions from Actions List","Remove selected actions from Bookmarks' actions lists.",,
cmd.removeAllWebLinks,"Remove All Web-Links",,,
cmd.document.headerAndFooter.removeAll,"Remove All...","Remove all headers and footers from the document.",,
cmd.document.watermarks.removeAll,"Remove All...","Remove all watermarks from the document.",,
cmd.document.batesNumbering.removeAll,"Remove All...","Remove all bates numbering from the document.",,
cmd.document.background.remove,"Remove All...","Remove all backgrounds from the document.",,
cmd.removeClip,"Remove Clip","Remove clipping path from the object(s)",,
cmd.document.removeCroppedContent,"Remove Cropped Content","Delete content outside of the cropped area. By default, content is not deleted when pages are cropped.",,
